万象🇨🇳中国央视🇨🇳,#genre#
河北经济,http://shijiazhuangjingshi-12.synology.me:8092/hls/17/index.m3u8
河北经济,http://shijiazhuangjingshi-b.synology.me:8092/hls/17/index.m3u8
河北影视,http://shijiazhuangjingshi-b.synology.me:8092/hls/18/index.m3u8
石家庄都市,http://shijiazhuangjingshi-b.synology.me:8092/hls/21/index.m3u8
石家庄生活,http://shijiazhuangjingshi-12.synology.me:8092/hls/22/index.m3u8
石家庄生活,http://shijiazhuangjingshi-b.synology.me:8092/hls/22/index.m3u8
卡酷少儿,http://shijiazhuangjingshi-b.synology.me:8092/hls/34/index.m3u8
农民,http://shijiazhuangjingshi-12.synology.me:8092/hls/16/index.m3u8
农民,http://shijiazhuangjingshi-b.synology.me:8092/hls/16/index.m3u8
广州综合频道,http://tencentplaygzrb01.gztv.com/live/zonghes.m3u8
广州新闻频道,http://tencentplaygzrb01.gztv.com/live/xinwen.m3u8
广州竞赛频道,http://tencentplaygzrb01.gztv.com/live/jingsai.m3u8
广州影视频道,http://tencentplaygzrb01.gztv.com/live/yingshi.m3u8
广州法治频道,http://tencentplaygzrb01.gztv.com/live/fazhi.m3u8
广州南国频道,http://tencentplaygzrb01.gztv.com/live/nanguodushi.m3u8
广州竞赛频道,http://php.jdshipin.com:8880/gztv.php?id=jingsai
南国都市频道,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
番禺电视频道,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv

广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=9e5008d4b91944fa76a957a93ae54870&txTime=1903e5f1cfd
广州影视,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=ec79a0d817981989c161f548c48c2954&txTime=1903e79e680
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=4c09e8c2d093bcb692e036ae54ff87c7&txTime=1903e37cd8a
广州竞赛,https://tencentplay.gztv.com/live/jingsai.m3u8?txSecret=9be68e7c35579d02d11f6968531343ea&txTime=1903ea2dd6a
广州法治,https://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=040cda8ae37088f2b96bea7b68bd0eb5&txTime=1903e5b8abe
广州南国都市,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
东莞综合,https://stream.sun0769.com/dgrtv1/mp4tv1_1500/index.m3u8
东莞生活资讯,https://stream.sun0769.com/dgrtv1/mp4tv2_1500/index.m3u8
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
梅州综合,http://pili-live-hls.xianchangliving.gdmztv.com:80/meizhou-xianchangliving/mztv1.m3u8
客家生活,http://pili-live-hls.xianchangliving.gdmztv.com:80/meizhou-xianchangliving/mztv2.m3u8
云浮综合,https://livestream.oeeee.com/slive/17806.m3u8
云浮文旅,https://livestream.oeeee.com/slive/17807.m3u8
韶关综合,https://www.sgmsw.cn/videos/tv/201805/1308/SB05RIYZOU8JR418AUQOF62CAJQ08D0E/hls/live.m3u8
番禺新闻,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
东方影视,https://zby.130519.xyz/PLTV/11/224/3221225744/index.m3u8
东方财经,https://zby.130519.xyz/PLTV/11/224/3221226134/index.m3u8
新闻综合,https://zby.130519.xyz/PLTV/11/224/3221226136/index.m3u8
法治天地,https://zby.130519.xyz/PLTV/11/224/3221225994/index.m3u8
上海新闻综合,video://https://live.kankanews.com/huikan?id=2
上海都市,video://https://live.kankanews.com/huikan?id=4
第一财经,video://https://live.kankanews.com/huikan?id=5
哈哈炫动,video://https://live.kankanews.com/huikan?id=9
五星体育,video://https://live.kankanews.com/huikan?id=10
魔都眼,video://https://live.kankanews.com/huikan?id=11
新纪实,video://https://live.kankanews.com/huikan?id=12
湖南经视,http://php.jdshipin.com:8880/iptv.php?id=hnjs
湖南都市,http://php.jdshipin.com:8880/iptv.php?id=hnds
湖南爱晚,http://php.jdshipin.com:8880/iptv.php?id=hngg
湖南电视剧,http://php.jdshipin.com:8880/iptv.php?id=hndsj
湖南电影,http://php.jdshipin.com:8880/iptv.php?id=hndy
湖南娱乐,http://php.jdshipin.com:8880/iptv.php?id=hnyl
湖南国际,http://php.jdshipin.com:8880/iptv.php?id=hngj
湘潭新闻综合,http://live.hnxttv.com:9601/live/xwzh/800K/tzwj_video.m3u8
湘潭公共频道,http://live.hnxttv.com:9601/live/dspd/800K/tzwj_video.m3u8
湘潭新闻综合,http://live.hnxttv.com:9601/live/xwzh/800K/tzwj_video.m3u8?zhund
湘潭公共频道,http://live.hnxttv.com:9601/live/dspd/800K/tzwj_video.m3u8?zhund
金鹰卡通,video://https://live.mgtv.com/?channelId=287#video://https://www.mgtv.com/live/
湖南卡通,video://https://live.mgtv.com/?channelId=346
湘潭,video://http://www.hnxttv.com/live/ivideo/index.html
邵阳1,video://http://www.sytv.net.cn/folder2188/folder2190
邵阳2,video://http://share.sytv.net.cn/?_hgOutLink=live/livedetail&channel_id=34
娄底综合,video://http://www.ldntv.cn/folder51/folder154/folder171
郴州综合,video://https://www.ngcz.tv/folder83/folder86

武汉新闻综合,http://www.zyhfm.com:8088/rtp/239.69.1.145:10506
武汉电视剧,http://www.zyhfm.com:8088/rtp/239.69.1.146:10512
武汉科技生活,http://www.zyhfm.com:8088/rtp/239.69.1.251:11148
武汉经济,http://www.zyhfm.com:8088/rtp/239.69.1.35:9850
武汉文体,http://www.zyhfm.com:8088/rtp/239.69.1.147:10518
武汉外语,http://www.zyhfm.com:8088/rtp/239.69.1.36:9856
武汉教育,http://www.zyhfm.com:8088/rtp/239.69.1.60:9994
湖北公共新闻,http://www.zyhfm.com:8088/rtp/239.69.1.40:9880
湖北经视,http://www.zyhfm.com:8088/rtp/239.69.1.41:9886
湖北综合,http://www.zyhfm.com:8088/rtp/239.69.1.42:9892
湖北垄上,http://www.zyhfm.com:8088/rtp/239.69.1.43:9898
湖北影视,http://www.zyhfm.com:8088/rtp/239.69.1.204:10866
湖北生活,http://www.zyhfm.com:8088/rtp/239.69.1.205:10872
湖北教育,http://www.zyhfm.com:8088/rtp/239.69.1.206:10878
武汉新闻综合,http://stream.appwuhan.com/1tzb/sd/live.m3u8
武汉电视剧,http://stream.appwuhan.com/2tzb/sd/live.m3u8
武汉科技生活,http://stream.appwuhan.com/3tzb/sd/live.m3u8
武汉经济,http://stream.appwuhan.com/4tzb/sd/live.m3u8
武汉文体,http://stream.appwuhan.com/5tzb/sd/live.m3u8
武汉外语,http://stream.appwuhan.com/6tzb/sd/live.m3u8
武汉少儿,http://stream.appwuhan.com/7tzb/sd/live.m3u8
武汉教育,http://stream.appwuhan.com/jyzb/sd/live.m3u8

鄂州新闻综合,http://ezhou-live21.cjyun.org/10098/s10098-EZ1T.m3u8?auth_key=1767196799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-0f99f7df9fd0d3fca9beca6bafa6b043
鄂州公共,http://ezhou-live21.cjyun.org/10098/s10098-EZ2T.m3u8?auth_key=1767196799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-ab320ba90f39f94baba04e30ff07c52e
黄石新闻综合,http://huangshifb-live21.cjyun.org/10200/s10200-huangshitv01.m3u8?auth_key=1767196799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-e22af05072c6fa8bc1fc35e042e97467
大冶一套,http://dayeyun-live21.cjyun.org/10102/s10102-TC1T.m3u8?auth_key=1767196799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-c3d27fbc279c3efc9187853aca3da012
阳新新闻,http://yangxin-live21.cjyun.org/10104/s10104-yangxin-tv01.m3u8?auth_key=1767196799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-a27d99b67d0e39445f1df5ea6ad088ec
咸宁综合,http://xianning-live21.cjyun.org/10140/s10140-XNTV-1.m3u8?auth_key=1767196799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-fea9ed9b2105c8e66da382be47a0acae
咸宁经济生活,http://xianning-live21.cjyun.org/10140/s10140-XNGG.m3u8?auth_key=1767196799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-8cb875770938fdeb7179752f74e13062
赤壁一套,http://chibi-live21.cjyun.org/10138/s10138-CBTV1.m3u8?auth_key=1767196799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-a9f4eb22b55c750628c090d53a445bbc
嘉鱼新闻综合,http://jiayu-live21.cjyun.org/10131/s10131-jyzh.m3u8?auth_key=1767196799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-9ca56ee7b0e7b23d7ccb3f6649b2686a
通山综合,http://tongshan-live21.cjyun.org/10134/s10134-TONGSHAN-live.m3u8?auth_key=1767196799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-23ad1b5ada69ec0d4796d8227f737ca6
孝感新闻综合,http://xiaogan-live21.cjyun.org/10139/s10139-shpd.m3u8?auth_key=1767196799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-2286294457518d52f02d91906380d72a
孝感生活,http://xiaogan-live21.cjyun.org/10139/s10139-xg.m3u8?auth_key=1767196799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-1d24a98d45449c0f85cda4bddc5d72a6
孝昌新闻党建,http://xiaochang-live21.cjyun.org/10128/s10128-xcxw.m3u8?auth_key=1767196799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-948b2cf2777e352d9f83660c9b79aa3f
应城综合,http://yingcheng-live21.cjyun.org/10135/s10135-YCZH.m3u8?auth_key=1767196799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-683be43745bd3709006be7b43135de61
荆州新闻,http://jingzhou-live21.cjyun.org/10085/s10085-jingzhou-tv01.m3u8?auth_key=1767196799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-2bb0015980b1b3742cea1d78f13eb6ca
荆州垄上,http://jingzhou-live21.cjyun.org/10085/s10085-jingzhou-tv03.m3u8?auth_key=1767196799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-7dff02969ff316d795ac73c86747fd05
松滋综合,http://songzi-live21.cjyun.org/10194/s10194-songzi-tv1.m3u8?auth_key=1767196799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-388ba0519fa8a2846925a78282f2aa1f

黄陂新闻,http://livehprm.hptv.com.cn/zbpd/sd/live.m3u8
荆州新闻,https://jingzhou-live21.cjyun.org:443/10085/s10085-jingzhou-tv01.m3u8?auth_key=1767196799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-2bb0015980b1b3742cea1d78f13eb6ca
荆州陇上,https://jingzhou-live21.cjyun.org:443/10085/s10085-jingzhou-tv03.m3u8?auth_key=1767196799-ced13be0a8ae11efa7dfa7dfd677b8f3-0-7dff02969ff316d795ac73c86747fd05
十堰新闻,http://p8.vzan.com/slowlive/034028687228317362/live.m3u8
十堰新闻,https://p8.vzan.com/slowlive/034028687228317362/live.m3u8?zbid=351104&amp;tpid=868100086
十堰新闻,http://p8.vzan.com/slowlive/034028687228317362/live.m3u8
十堰经济,https://p8.vzan.com/slowlive/701367497774448672/live.m3u8
荆门新闻,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8
荆门教育,http://stream.jmtv.com.cn/ggsh/sd/live.m3u8
江夏新闻,http://59.175.226.142:280/gb28181/xwzh.m3u8
崇阳综合,http://61.184.176.248:10500/live/live.m3u8
潜江综合,http://hbqjdb.chinashadt.com:2035/live/3.stream/playlist.m3u8
潜江乡村,http://hbqjdb.chinashadt.com:2035/live/4.stream/playlist.m3u8
十堰新闻综合,video://https://www.syiptv.com/tv?station_id=1
十堰新闻综合,webview://https://www.syiptv.com/tv
十堰经济旅游,video://https://www.syiptv.com/tv?station_id=3
十堰经济旅游,webview://https://www.syiptv.com/tv?station_id=3
十堰新闻综合,video://http://52zb.online/xzb/sytv.php?id=1
十堰经济旅游,video://http://52zb.online/xzb/sytv.php?id=3
荆门新闻综合,video://https://www.jmtv.com.cn/folder48/folder50/folder62
孝感综合,video://https://share.xgrb.cn/live_detail?newsid=25009136_xgrb
孝感生活,video://https://share.xgrb.cn/live_detail?newsid=25009684_xgrb
黄冈广播电视,video://http://m-huanggang.cjyun.org/zhibo?2022
武汉新闻综合,http://kkk.888.3116598.xyz/api.php?n=ghbzhx&id=6EBYbZ&tk=YGJeCMRBQ0DY
武汉电视剧,http://kkk.888.3116598.xyz/api.php?n=ghbzhx&id=psXKt7&tk=YGJeCMRBQ0DY
武汉生活,http://kkk.888.3116598.xyz/api.php?n=ghbzhx&id=5Mstn5&tk=YGJeCMRBQ0DY
武汉教育,http://kkk.888.3116598.xyz/api.php?n=ghbzhx&id=ficm2g&tk=YGJeCMRBQ0DY
湖北公共新闻,http://kkk.888.3116598.xyz/api.php?n=ghbzhx&id=5d8Iyz&tk=YGJeCMRBQ0DY
湖北经视,http://kkk.888.3116598.xyz/api.php?n=ghbzhx&id=ILED08&tk=YGJeCMRBQ0DY
湖北综合,http://kkk.888.3116598.xyz/api.php?n=ghbzhx&id=5DIZo2&tk=YGJeCMRBQ0DY
湖北垄上,http://kkk.888.3116598.xyz/api.php?n=ghbzhx&id=2ZVTt7&tk=YGJeCMRBQ0DY
湖北影视,http://kkk.888.3116598.xyz/api.php?n=ghbzhx&id=BPlzf9&tk=YGJeCMRBQ0DY
湖北生活,http://kkk.888.3116598.xyz/api.php?n=ghbzhx&id=SDV9Dg&tk=YGJeCMRBQ0DY
湖北教育,http://kkk.888.3116598.xyz/api.php?n=ghbzhx&id=77JNcf&tk=YGJeCMRBQ0DY
莱阳综合,http://106.53.99.30/tv/sdtv.php?id=ytlyzh
莱阳民生综艺,http://106.53.99.30/tv/sdtv.php?id=ytlyms
山东齐鲁,http://nw.jiayinkeji.xin/migunew/gtqilu.php?id=qlpd
山东新闻,http://58.58.111.222:808/hls/63/index.m3u8?key=txiptv
山东综艺,http://nw.jiayinkeji.xin/migunew/gtqilu.php?id=yxzy
山东生活,http://nw.jiayinkeji.xin/migunew/gtqilu.php?id=yxsh
山东文旅,http://nw.jiayinkeji.xin/migunew/gtqilu.php?id=yxys
山东农科,http://nw.jiayinkeji.xin/migunew/gtqilu.php?id=nkpd
山东体育,http://nw.jiayinkeji.xin/migunew/gtqilu.php?id=typd
山东教育,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
万象💞数字频道💞,#genre#
IPTV都市剧场,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.67:4120
IPTV军旅剧场,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.68:4120
IPTV军旅剧场,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.69:4120
IPTV音乐现场,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.70:4120
IPTV地理,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.71:4120
IPTV美妆,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.72:4120
IPTV精选,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.74:4120
IPTV解密,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.75:4120
IPTV军事,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.76:4120
IPTV国学,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.77:4120
IPTV戏曲,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.78:4120
IPTV动画,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.80:4120
IPTV好学生,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.81:4120
IPTV鉴赏,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.82:4120
IPTV墨宝,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.83:4120
IPTV光影,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.84:4120
IPTV武术,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.87:4120
IPTV影视,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.88:4120
IPTV武侠剧场,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.90:4120
IPTV喜剧剧场,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.91:4120
IPTV动作影院,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.92:4120
IPTV家庭影院,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.93:4120
IPTV星影,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.94:4120
中国交通,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.188:8001
IPTV热播剧场,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.194:9020
IPTV经典电影,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.195:9024
IPTV魅力时尚,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.196:9012
IPTV少儿动画,http://awnjnmctlaxqsapgzjjsvvfsp.xyz:4022/rtp/239.3.1.199:9000
IPTV都市剧场,http://bit.famcloud.top:9878/rtp/239.3.1.67:4120
IPTV军旅剧场,http://bit.famcloud.top:9878/rtp/239.3.1.68:4120
IPTV军旅剧场,http://bit.famcloud.top:9878/rtp/239.3.1.69:4120
IPTV音乐现场,http://bit.famcloud.top:9878/rtp/239.3.1.70:4120
IPTV地理,http://bit.famcloud.top:9878/rtp/239.3.1.71:4120
IPTV美妆,http://bit.famcloud.top:9878/rtp/239.3.1.72:4120
IPTV精选,http://bit.famcloud.top:9878/rtp/239.3.1.74:4120
IPTV解密,http://bit.famcloud.top:9878/rtp/239.3.1.75:4120
IPTV军事,http://bit.famcloud.top:9878/rtp/239.3.1.76:4120
IPTV国学,http://bit.famcloud.top:9878/rtp/239.3.1.77:4120
IPTV戏曲,http://bit.famcloud.top:9878/rtp/239.3.1.78:4120
IPTV动画,http://bit.famcloud.top:9878/rtp/239.3.1.80:4120
IPTV好学生,http://bit.famcloud.top:9878/rtp/239.3.1.81:4120
IPTV鉴赏,http://bit.famcloud.top:9878/rtp/239.3.1.82:4120
IPTV墨宝,http://bit.famcloud.top:9878/rtp/239.3.1.83:4120
IPTV光影,http://bit.famcloud.top:9878/rtp/239.3.1.84:4120
IPTV武术,http://bit.famcloud.top:9878/rtp/239.3.1.87:4120
IPTV影视,http://bit.famcloud.top:9878/rtp/239.3.1.88:4120
IPTV武侠剧场,http://bit.famcloud.top:9878/rtp/239.3.1.90:4120
IPTV喜剧剧场,http://bit.famcloud.top:9878/rtp/239.3.1.91:4120
IPTV动作影院,http://bit.famcloud.top:9878/rtp/239.3.1.92:4120
IPTV家庭影院,http://bit.famcloud.top:9878/rtp/239.3.1.93:4120
IPTV星影,http://bit.famcloud.top:9878/rtp/239.3.1.94:4120
中国交通,http://bit.famcloud.top:9878/rtp/239.3.1.188:8001
IPTV热播剧场,http://bit.famcloud.top:9878/rtp/239.3.1.194:9020
IPTV经典电影,http://bit.famcloud.top:9878/rtp/239.3.1.195:9024
IPTV魅力时尚,http://bit.famcloud.top:9878/rtp/239.3.1.196:9012
IPTV少儿动画,http://bit.famcloud.top:9878/rtp/239.3.1.199:9000
IPTV都市剧场,http://file.rbscraft.com:4022/rtp/239.3.1.67:4120
IPTV军旅剧场,http://file.rbscraft.com:4022/rtp/239.3.1.68:4120
IPTV军旅剧场,http://file.rbscraft.com:4022/rtp/239.3.1.69:4120
IPTV音乐现场,http://file.rbscraft.com:4022/rtp/239.3.1.70:4120
IPTV地理,http://file.rbscraft.com:4022/rtp/239.3.1.71:4120
IPTV美妆,http://file.rbscraft.com:4022/rtp/239.3.1.72:4120
IPTV精选,http://file.rbscraft.com:4022/rtp/239.3.1.74:4120
IPTV解密,http://file.rbscraft.com:4022/rtp/239.3.1.75:4120
IPTV军事,http://file.rbscraft.com:4022/rtp/239.3.1.76:4120
IPTV国学,http://file.rbscraft.com:4022/rtp/239.3.1.77:4120
IPTV戏曲,http://file.rbscraft.com:4022/rtp/239.3.1.78:4120
IPTV动画,http://file.rbscraft.com:4022/rtp/239.3.1.80:4120
IPTV好学生,http://file.rbscraft.com:4022/rtp/239.3.1.81:4120
IPTV鉴赏,http://file.rbscraft.com:4022/rtp/239.3.1.82:4120
IPTV墨宝,http://file.rbscraft.com:4022/rtp/239.3.1.83:4120
IPTV光影,http://file.rbscraft.com:4022/rtp/239.3.1.84:4120
IPTV武术,http://file.rbscraft.com:4022/rtp/239.3.1.87:4120
IPTV影视,http://file.rbscraft.com:4022/rtp/239.3.1.88:4120
IPTV武侠剧场,http://file.rbscraft.com:4022/rtp/239.3.1.90:4120
